01 02 03 04 05
01             06 07 08 09
01                         10 11 12 13
01                                     14 15 16 17
01                                                 18 19 20 21
   02          06          10          14          18
   02             07          11          15          19
   02                08          12          16          20
   02                   09          13          17          21
      03       06             11             16             21
      03          07       10                   17       20
      03             08             13 14             19
      03                09       12       15       18
         04    06                12             17    19
         04       07                13       16    18
         04          08    10             15                21
         04             09    11       14                20
            05 06                   13    15             20
            05    07             12    14                   21
            05       08       11                17 18
            05          09 10                16       19
