01 02 03 04 05 06
01                07 08 09 10 11
01                               12 13 14 15 16
01                                              17 18 19 20 21
01                                                             22 23 24 25 26
01                                                                            27 28 29 30 31
   02             07             12             17             22             27
   02                08             13             18             23             28
   02                   09             14             19             24             29
   02                      10             15             20             25             30
   02                         11             16             21             26             31
      03          07                      15       18                24                   31
      03             08          12                   19                   26          30
      03                09          13                      21          25    27
      03                   10                16 17                23                 29
      03                      11       14                20    22                 28
         04       07                13                   20                26        29
         04          08                14       17                      25                31
         04             09                   16    18          22                      30
         04                10    12                         21        24         28
         04                   11          15          19          23          27
            05    07                   14                   21    23                   30
            05       08                      16          20           24      27
            05          09                15    17                         26    28
            05             10       13                19       22                         31
            05                11 12                18                   25          29
               06 07                         16       19                25       28
               06    08                   15                21 22                   29
               06       09       12                      20       23                      31
               06          10          14          18                      26 27
               06             11    13          17                   24                30
